,Pressure1,Uptake1,Uptake Stdev,Heat,Heat Stdev,,,Pressure2,Uptake2,Uptake Stdev,Heat,Heat Stdev,,,Pressure3,Uptake3,Uptake Stdev,Heat,Heat Stdev
57,0.00057,0.325832241,0.069532034,-37.98276,0.836145,,179,0.00179,0.267084978,0.021587661,-37.24467,0.965155,,583,0.00583,0.266384755,0.038724382,-36.31575,0.706831
87,0.00087,0.44323388,0.048007846,-37.38082,1.155164,,197,0.00197,0.272200891,0.017045376,-36.83604,0.224626,,644,0.00644,0.280882225,0.052060568,-35.90413,1.118701
108,0.00108,0.552797311,0.082050612,-37.52214,0.644361,,264,0.00264,0.364623154,0.032276237,-36.84359,0.885846,,907,0.00907,0.386501544,0.035035559,-36.30051,0.70116
128,0.00128,0.597611569,0.073489095,-37.79481,0.845426,,282,0.00282,0.377391502,0.046260173,-37.4293,0.370559,,1126,0.01126,0.457852817,0.020913903,-36.47782,0.685122
183,0.00183,0.778204742,0.045323842,-37.15523,1.896568,,320,0.0032,0.405543316,0.030186823,-37.00373,0.979236,,1462,0.01462,0.567094717,0.041460837,-35.5775,0.636613
237,0.00237,0.886239115,0.032885036,-36.47239,1.790145,,362,0.00362,0.461068125,0.022936977,-37.01794,0.774477,,1899,0.01899,0.680666566,0.075417367,-35.16949,1.095448
352,0.00352,1.213893364,0.147336197,-36.60787,2.089589,,388,0.00388,0.500937954,0.027539502,-37.15043,0.573969,,2609,0.02609,0.849756079,0.042712216,-35.59272,1.444759
472,0.00472,1.331480777,0.089293638,-36.41163,2.414742,,412,0.00412,0.536177737,0.078781865,-37.03658,1.495053,,3674,0.03674,1.083737667,0.12997091,-35.43086,1.730127
940,0.0094,1.889515468,0.107251523,-34.97117,4.505927,,439,0.00439,0.550017855,0.044989173,-36.5545,0.585511,,5301,0.05301,1.335932193,0.046212556,-34.71421,1.019332
1707,0.01707,2.423256716,0.150082636,-32.80037,2.167976,,522,0.00522,0.627456779,0.054569217,-37.00635,1.248075,,8628,0.08628,1.71849677,0.127540756,-32.23865,0.819215
4093,0.04093,3.600209755,0.076790329,-28.9858,1.698917,,576,0.00576,0.649085089,0.057228715,-36.77746,1.361167,,15928,0.15928,2.473551289,0.094108867,-30.63227,1.946526
