p 20,q1,,p 50,q2,,p 60,q3
0,0.010688836,,0.001465969,0.031553398,,0.003805497,0.030637255
0.01261343,0.07719715,,0.011518325,0.048543689,,0.010570825,0.06495098
0.027313975,0.127078385,,0.018219895,0.082524272,,0.020718816,0.082107843
0.030580762,0.143705463,,0.021570681,0.099514563,,0.029175476,0.116421569
0.043647913,0.17695962,,0.038324607,0.133495146,,0.039323467,0.133578431
0.056715064,0.193586698,,0.048376963,0.133495146,,0.052854123,0.150735294
0.069782214,0.226840855,,0.056753927,0.150485437,,0.066384778,0.202205882
0.087749546,0.260095012,,0.06513089,0.150485437,,0.07653277,0.202205882
0.100816697,0.326603325,,0.085235602,0.218446602,,0.117124736,0.270833333
0.117150635,0.376484561,,0.100314136,0.218446602,,0.14756871,0.270833333
0.128584392,0.393111639,,0.130471204,0.303398058,,0.178012685,0.356617647
0.151451906,0.442992874,,0.150575916,0.286407767,,0.206765328,0.425245098
0.164519056,0.459619952,,0.16565445,0.371359223,,0.228752643,0.493872549
0.174319419,0.542755344,,0.195811518,0.45631068,,0.260887949,0.613970588
0.185753176,0.576009501,,0.217591623,0.507281553,,0.294714588,0.648284314
0.200453721,0.642517815,,0.242722513,0.575242718,,0.311627907,0.75122549
0.213520871,0.659144893,,0.276230366,0.643203883,,0.342071882,0.957107843
0.22168784,0.709026128,,0.277905759,0.694174757,,0.369133192,1.077205882
0.226588022,0.79216152,,0.303036649,0.86407767,,0.394503171,1.4375
0.249455535,0.89192399,,0.33486911,0.915048544,,0.423255814,1.729166667
0.254355717,0.975059382,,0.358324607,1.390776699,,0.450317125,2.209558824
0.260889292,1.041567696,,0.386806283,1.594660194,,0.473995772,2.672794118
0.265789474,1.058194774,,0.398534031,1.866504854,,0.489217759,3.221813725
0.283756806,1.174584323,,0.423664921,2.240291262,,0.517970402,3.942401961
0.291923775,1.257719715,,0.437068063,2.682038835,,0.536575053,4.525735294
0.296823956,1.357482185,,0.443769634,2.953883495,,0.550105708,4.731617647
0.303357532,1.457244656,,0.467225131,3.446601942,,0.573784355,5.263480392
0.308257713,1.507125891,,0.482303665,3.650485437,,0.587315011,5.537990196
0.318058076,1.623515439,,0.490680628,4.007281553,,0.619450317,5.778186275
0.329491833,1.656769596,,0.50408377,4.36407767,,0.663424947,5.915441176
0.331125227,1.806413302,,0.505759162,4.516990291,,0.687103594,6.035539216
0.337658802,1.872921615,,0.517486911,4.686893204,,,
0.339292196,1.989311164,,0.522513089,5.111650485,,,
0.344192377,2.089073634,,0.524188482,5.213592233,,,
0.350725953,2.155581948,,0.539267016,5.213592233,,,
0.35399274,2.255344418,,0.547643979,5.349514563,,,
0.358892922,2.355106888,,0.577801047,5.638349515,,,
0.363793103,2.454869359,,0.597905759,5.774271845,,,
0.368693285,2.538004751,,0.618010471,5.859223301,,,
0.373593466,2.621140143,,0.634764398,5.995145631,,,
0.376860254,2.720902613,,0.644816754,6.216019417,,,
0.386660617,2.787410926,,0.674973822,6.368932039,,,
0.383393829,3.036817102,,0.718534031,6.402912621,,,
0.391560799,3.186460808,,0.75539267,6.555825243,,,
0.39646098,3.252969121,,0.812356021,6.606796117,,,
0.409528131,3.485748219,,0.847539267,6.759708738,,,
0.409528131,3.685273159,,0.876020942,6.776699029,,,
0.422595281,3.98456057,,,,,,
0.427495463,4.217339667,,,,,,
0.445462795,4.583135392,,,,,,
0.461796733,5.065320665,,,,,,
0.463430127,5.248218527,,,,,,
0.471597096,5.397862233,,,,,,
0.484664247,5.397862233,,,,,,
0.484664247,5.580760095,,,,,,
0.512431942,5.7304038,,,,,,
0.517332123,5.796912114,,,,,,
0.546733212,6.129453682,,,,,,
0.566333938,6.279097387,,,,,,
0.594101633,6.445368171,,,,,,
0.633303085,6.445368171,,,,,,
0.659437387,6.578384798,,,,,,
0.692105263,6.628266033,,,,,,
0.70353902,6.777909739,,,,,,
0.73784029,6.777909739,,,,,,
0.781941924,6.910926366,,,,,,
0.798275862,7.093824228,,,,,,
0.860344828,7.110451306,,,,,,
