,Pressure1,Uptake1,Uptake Stdev,Heat,Heat Stdev,,,Pressure2,Uptake2,Uptake Stdev,Heat,Heat Stdev,,,Pressure3,Uptake3,Uptake Stdev,Heat,Heat Stdev
1,0.00001,0.091009602,0.009055733,-47.40554,21.540307,,5,0.00005,0.079622223,0.022109738,-47.11088,4.129368,,17,0.00017,0.04291134,0.012634402,-49.75653,8.710081
16,0.00016,0.95509405,0.14003581,-48.88488,2.255962,,70,0.0007,0.760837886,0.051087246,-48.0071,1.795812,,240,0.0024,0.540580043,0.046544894,-46.37634,2.053985
17,0.00017,0.970617552,0.053756945,-48.83199,1.514603,,80,0.0008,0.878907417,0.034984579,-48.09329,1.815911,,404,0.00404,0.910818907,0.044960137,-46.79813,1.514526
23,0.00023,1.217905515,0.032700263,-48.871,1.703963,,90,0.0009,0.927437922,0.074611987,-47.83954,1.774183,,677,0.00677,1.284612602,0.104406413,-46.24858,1.291096
26,0.00026,1.246165293,0.176394022,-48.26079,2.62327,,118,0.00118,1.146331963,0.182539005,-48.85481,1.136199,,1432,0.01432,1.921523312,0.117735053,-47.08401,1.784965
42,0.00042,1.645655114,0.122515938,-47.45089,2.065982,,141,0.00141,1.348614441,0.108474893,-48.09675,0.87197,,4026,0.04026,2.861406864,0.045274382,-45.98451,1.61121
52,0.00052,1.780149897,0.0922544,-47.69342,2.304425,,165,0.00165,1.413838485,0.04473648,-48.56212,1.393843,,21008,0.21008,3.920492724,0.11770429,-38.18228,4.038557
75,0.00075,2.115667689,0.122448725,-47.00342,1.333388,,257,0.00257,1.798781079,0.14902842,-48.21334,2.276538,,96007,0.96007,5.082400356,0.219190413,-37.61305,2.28474
106,0.00106,2.428216959,0.073900816,-47.5271,1.887129,,350,0.0035,2.091320459,0.125111229,-47.78695,2.197714,,171006,1.71006,5.584294611,0.042724045,-38.32115,6.701419
170,0.0017,2.759814751,0.149529683,-46.60434,2.010319,,520,0.0052,2.405404939,0.037974322,-47.77004,1.885391,,246005,2.46005,5.738143466,0.06422811,-37.15811,5.412161
370,0.0037,3.308637229,0.14909654,-46.17096,3.098529,,950,0.0095,2.808866929,0.07902275,-45.55315,1.195172,,321004,3.21004,5.860587599,0.120422216,-40.70749,7.10401
1194,0.01194,4.156840457,0.129963055,-43.42204,3.088285,,2497,0.02497,3.533299483,0.070499189,-43.943,2.621032,,396003,3.96003,5.981563595,0.082823912,-38.37138,3.9871
8285,0.08285,5.296770745,0.129844968,-36.25646,3.669374,,10646,0.10646,4.577562374,0.089399905,-39.30559,4.866317,,471002,4.71002,6.091040425,0.203312316,-37.88692,2.024582
83284,0.83284,6.395578287,0.140411829,-35.9554,3.432147,,85645,0.85645,5.899400079,0.072548172,-38.04512,4.195535,,546001,5.46001,6.142887281,0.247658682,-40.44135,6.489076
158283,1.58283,6.667548841,0.089117039,-33.8302,8.887282,,160644,1.60644,6.247288977,0.119330738,-36.26706,4.309733,,621000,6.21,6.27345461,0.087572426,-34.47018,4.537855
233282,2.33282,6.769535935,0.108204637,-33.23533,5.814175,,235643,2.35643,6.320971578,0.15255551,-37.24536,6.085424,,695999,6.95999,6.281868452,0.232827433,-36.55797,2.674119
308281,3.08281,6.852645916,0.137038824,-36.5703,10.5728,,310642,3.10642,6.475498609,0.282683449,-36.78924,3.266218,,770998,7.70998,6.34625782,0.161234075,-38.42135,6.99204
383280,3.8328,7.002738724,0.079733224,-31.67102,10.345635,,385641,3.85641,6.6380445,0.040294788,-36.67075,8.206441,,845997,8.45997,6.378087332,0.075773791,-35.45173,6.106663
458279,4.58279,7.010302985,0.074626323,-33.50758,6.085868,,460640,4.6064,6.676119185,0.13854218,-35.05188,4.94965,,920996,9.20996,6.391211138,0.068856261,-35.20763,4.376682
533278,5.33278,7.058445961,0.164157807,-32.68082,6.968477,,535639,5.35639,6.721668701,0.072907992,-38.50669,6.991313,,995995,9.95995,6.421736467,0.119623338,-34.20031,2.85433
608277,6.08277,7.148360049,0.109298821,-33.71181,4.589802,,610638,6.10638,6.763954033,0.113508839,-35.90704,7.142168,,1070994,10.70994,6.44533845,0.159441697,-37.77434,6.993011
683276,6.83276,7.172595492,0.135156085,-35.33273,5.5585,,685637,6.85637,6.846438006,0.191530143,-33.92899,5.523122,,1145993,11.45993,6.466980432,0.133176713,-38.45364,5.917329
758275,7.58275,7.208717629,0.182483921,-35.00145,9.128092,,760636,7.60636,6.849120896,0.103916725,-38.8489,4.412215,,1220992,12.20992,6.5367952,0.075568025,-34.16607,8.826051
833274,8.33274,7.235196266,0.185789411,-35.41238,11.139021,,835635,8.35635,6.958746775,0.174229431,-33.74338,5.404322,,1295991,12.95991,6.541691475,0.108392235,-34.80023,6.046117
908273,9.08273,7.271676122,0.082604027,-34.56518,1.80528,,910634,9.10634,6.958769133,0.123977929,-37.78313,6.160538,,1370990,13.7099,6.592129813,0.141530132,-36.19146,6.245638
983272,9.83272,7.31850001,0.200853995,-33.52772,3.909503,,985633,9.85633,6.963344951,0.142141656,-34.59704,6.506288,,1445989,14.45989,6.611036737,0.101348994,-35.688,4.217623
